word,x,y,cluster,frequency
like,26.32147,-2.7770162,-1,540
dont,23.885155,-2.2199223,0,480
let,23.63913,-3.3795524,-1,330
even,26.188042,-5.0560303,-1,330
maybe,27.457535,-4.1544614,-1,300
thing,23.289026,-4.7694325,-1,300
life,26.567535,-5.0859795,-1,270
make,25.525324,-4.0339003,-1,270
feel,26.177187,-2.964658,-1,270
going,23.344097,-5.5007973,-1,270
stop,24.8749,-2.8823514,-1,240
know,26.714827,-2.726559,-1,240
one,26.840334,-4.8476534,-1,240
doesnt,27.389898,-4.0250115,1,240
youre,23.691622,-4.089472,-1,240
time,23.868872,-6.310405,-1,240
never,25.122988,-4.587238,-1,240
people,24.356657,-5.0272684,0,210
would,26.367693,-1.9122449,-1,210
need,26.683327,-4.0202475,-1,210
day,27.79044,-2.985988,-1,180
without,27.423697,-3.3996153,-1,180
take,25.521326,-3.5318677,-1,180
world,25.86663,-2.849004,-1,180
want,23.359482,-5.1133127,-1,180
isnt,22.483723,-3.5227365,-1,150
way,21.51978,-3.5406706,-1,150
tell,24.332336,-2.3362243,0,150
someone,27.303347,-2.00191,-1,150
flow,25.764864,-3.918205,-1,150
el,27.294886,-2.1063151,-1,150
river,23.911638,-2.6904123,0,150
much,26.468958,-5.554628,0,150
start,25.463444,-2.1011128,-1,150
youve,23.902105,-4.001369,-1,150
everyone,27.073515,-4.5427947,-1,150
didnt,24.249907,-4.6710563,-1,150
risk,23.954002,-5.926579,-1,120
cant,23.20499,-4.935124,-1,120
new,24.687428,-3.4195652,-1,120
asking,26.691118,-5.475645,-1,120
finally,26.18685,-3.3446116,0,120
still,26.805073,-3.9113276,0,120
think,26.51287,-3.4891896,-1,120
stay,24.203735,-4.906378,-1,120
keep,23.379845,-2.450548,0,120
health,24.267328,-6.2321043,-1,120
get,26.54817,-3.1954117,-1,120
say,25.535946,-5.046928,0,120
else,27.421732,-3.7031114,-1,120
everything,24.93326,-1.3487923,0,120
used,26.665747,-4.2429414,0,120
